Date,N1,N2,N3,N4,N5,N6,,,,,,,
21-May-2001,3,4,6,14,17,40,,,,,,,
23-May-2001,5,20,30,31,40,41,,,,,,,
26-May-2001,3,12,32,33,36,41,,,,,,,
28-May-2001,5,21,22,24,29,40,,,,,,,
30-May-2001,9,19,23,30,37,43,,,,,,,
2-Jun-2001,2,6,22,23,31,34,,,,,,,
4-Jun-2001,1,4,10,14,22,38,,,,,,,
6-Jun-2001,17,20,25,39,42,47,,,,,,,
9-Jun-2001,4,9,22,23,27,28,,,,,,,
11-Jun-2001,3,19,32,33,41,44,,,,,,,
13-Jun-2001,8,23,26,27,32,36,,,,,,,
16-Jun-2001,3,4,20,23,26,38,,,,,,,
18-Jun-2001,4,9,25,27,31,47,,,,,,,
20-Jun-2001,5,8,14,20,21,34,,,,,,,
23-Jun-2001,17,24,29,42,44,47,,,,,,,
25-Jun-2001,17,18,29,34,41,43,,,,,,,
27-Jun-2001,3,20,24,31,32,39,,,,,,,
30-Jun-2001,5,7,9,17,20,39,,,,,,,
2-Jul-2001,1,4,19,20,45,47,,,,,,,
4-Jul-2001,1,2,7,29,45,46,,,,,,,
7-Jul-2001,3,13,15,21,25,44,,,,,,,
9-Jul-2001,3,7,15,26,35,45,,,,,,,
11-Jul-2001,1,3,6,16,23,35,,,,,,,
14-Jul-2001,6,18,29,30,36,37,,,,,,,
16-Jul-2001,4,20,25,27,34,43,,,,,,,
18-Jul-2001,7,19,32,35,37,45,,,,,,,
21-Jul-2001,2,14,20,22,33,42,,,,,,,
23-Jul-2001,2,9,30,39,43,47,,,,,,,
25-Jul-2001,1,8,14,27,30,32,,,,,,,
28-Jul-2001,12,17,20,22,23,44,,,,,,,
30-Jul-2001,22,36,43,45,46,47,,,,,,,
1-Aug-2001,3,5,14,24,35,48,,,,,,,
4-Aug-2001,5,6,18,39,41,47,,,,,,,
6-Aug-2001,3,5,13,26,31,45,,,,,,,
8-Aug-2001,8,9,21,31,43,48,,,,,,,
11-Aug-2001,1,5,33,34,41,42,,,,,,,
13-Aug-2001,11,21,24,27,43,46,,,,,,,
15-Aug-2001,8,17,20,26,36,38,,,,,,,
18-Aug-2001,9,10,13,30,32,36,,,,,,,
20-Aug-2001,11,20,26,29,40,43,,,,,,,
22-Aug-2001,12,23,28,35,41,47,,,,,,,
25-Aug-2001,21,22,30,33,35,41,,,,,,,
27-Aug-2001,20,21,24,28,29,35,,,,,,,
29-Aug-2001,9,12,14,15,26,27,,,,,,,
1-Sep-2001,13,20,22,28,33,38,,,,,,,
3-Sep-2001,12,19,31,37,42,43,,,,,,,
5-Sep-2001,1,3,8,13,33,35,,,,,,,
8-Sep-2001,15,16,20,28,31,39,,,,,,,
10-Sep-2001,4,12,16,24,31,39,,,,,,,
12-Sep-2001,2,3,20,22,33,42,,,,,,,
15-Sep-2001,10,19,23,34,40,44,,,,,,,
17-Sep-2001,2,8,10,20,21,25,,,,,,,
19-Sep-2001,7,8,11,28,33,45,,,,,,,
22-Sep-2001,8,14,19,23,38,41,,,,,,,
24-Sep-2001,4,16,17,19,23,45,,,,,,,
26-Sep-2001,11,18,22,30,32,42,,,,,,,
29-Sep-2001,10,12,24,31,32,33,,,,,,,
1-Oct-2001,5,12,19,24,26,41,,,,,,,
3-Oct-2001,11,20,23,34,37,46,,,,,,,
6-Oct-2001,2,15,39,40,44,47,,,,,,,
8-Oct-2001,4,8,15,23,25,42,,,,,,,
10-Oct-2001,8,10,17,25,32,42,,,,,,,
13-Oct-2001,1,3,5,16,26,28,,,,,,,
15-Oct-2001,4,14,27,32,37,48,,,,,,,
17-Oct-2001,1,25,26,28,39,48,,,,,,,
20-Oct-2001,9,14,16,18,21,38,,,,,,,
22-Oct-2001,7,13,21,26,29,34,,,,,,,
24-Oct-2001,5,7,15,18,32,40,,,,,,,
27-Oct-2001,1,3,17,28,39,44,,,,,,,
29-Oct-2001,7,12,19,20,25,40,,,,,,,
31-Oct-2001,5,13,15,16,22,28,,,,,,,
3-Nov-2001,14,25,28,42,43,48,,,,,,,
5-Nov-2001,1,3,12,15,21,23,,,,,,,
7-Nov-2001,24,30,33,39,41,47,,,,,,,
10-Nov-2001,10,11,16,27,28,36,,,,,,,
12-Nov-2001,5,7,8,9,23,38,,,,,,,
14-Nov-2001,2,3,8,15,23,46,,,,,,,
17-Nov-2001,7,17,18,28,36,42,,,,,,,
19-Nov-2001,1,18,19,27,34,38,,,,,,,
21-Nov-2001,23,25,28,35,41,47,,,,,,,
24-Nov-2001,7,12,14,31,43,46,,,,,,,
26-Nov-2001,4,10,19,30,32,38,,,,,,,
28-Nov-2001,2,13,15,17,19,20,,,,,,,
1-Dec-2001,3,5,6,9,15,38,,,,,,,
3-Dec-2001,4,25,26,30,35,48,,,,,,,
5-Dec-2001,4,5,10,24,28,33,,,,,,,
8-Dec-2001,6,11,14,15,22,25,,,,,,,
10-Dec-2001,13,15,16,19,39,48,,,,,,,
12-Dec-2001,1,7,10,34,37,43,,,,,,,
15-Dec-2001,1,19,27,28,45,47,,,,,,,
17-Dec-2001,1,2,17,21,40,41,,,,,,,
19-Dec-2001,5,16,20,26,44,47,,,,,,,
22-Dec-2001,3,6,14,18,24,47,,,,,,,
24-Dec-2001,5,18,22,23,30,40,,,,,,,
26-Dec-2001,5,6,13,39,42,45,,,,,,,
29-Dec-2001,5,9,18,21,23,47,,,,,,,
31-Dec-2001,4,7,18,30,37,47,,,,,,,
2-Jan-2002,5,6,17,21,23,38,,,,,,,
5-Jan-2002,16,18,26,37,40,43,,,,,,,
7-Jan-2002,9,12,31,42,46,48,,,,,,,
9-Jan-2002,6,15,23,25,39,43,,,,,,,
12-Jan-2002,12,20,25,27,32,41,,,,,,,
14-Jan-2002,6,8,13,26,29,38,,,,,,,
16-Jan-2002,4,6,9,15,27,47,,,,,,,
19-Jan-2002,7,9,12,16,24,43,,,,,,,
21-Jan-2002,12,13,19,21,27,42,,,,,,,
23-Jan-2002,6,19,27,37,38,41,,,,,,,
26-Jan-2002,16,27,34,40,44,45,,,,,,,
28-Jan-2002,13,19,30,35,42,43,,,,,,,
30-Jan-2002,1,6,10,19,22,34,,,,,,,
2-Feb-2002,5,6,7,30,31,39,,,,,,,
4-Feb-2002,10,12,19,38,42,47,,,,,,,
6-Feb-2002,9,14,18,23,41,47,,,,,,,
9-Feb-2002,6,10,12,20,21,37,,,,,,,
11-Feb-2002,16,25,35,45,47,48,,,,,,,
13-Feb-2002,6,19,20,29,30,31,,,,,,,
16-Feb-2002,3,6,23,29,36,45,,,,,,,
18-Feb-2002,3,4,6,23,35,38,,,,,,,
20-Feb-2002,7,8,23,25,28,47,,,,,,,
23-Feb-2002,16,21,24,35,39,48,,,,,,,
25-Feb-2002,1,2,19,26,34,45,,,,,,,
27-Feb-2002,2,6,8,17,30,34,,,,,,,
2-Mar-2002,10,18,22,23,25,40,,,,,,,
4-Mar-2002,2,8,13,30,34,43,,,,,,,
6-Mar-2002,11,14,24,30,35,41,,,,,,,
9-Mar-2002,4,7,11,13,17,23,,,,,,,
11-Mar-2002,5,12,17,31,32,46,,,,,,,
13-Mar-2002,1,11,23,30,35,42,,,,,,,
16-Mar-2002,2,12,25,35,46,47,,,,,,,
18-Mar-2002,7,10,19,28,29,30,,,,,,,
20-Mar-2002,5,12,29,31,33,39,,,,,,,
23-Mar-2002,4,8,16,31,33,39,,,,,,,
25-Mar-2002,2,13,16,26,27,31,,,,,,,
27-Mar-2002,3,12,27,30,31,33,,,,,,,
30-Mar-2002,2,9,12,21,36,41,,,,,,,
1-Apr-2002,3,7,17,31,33,45,,,,,,,
3-Apr-2002,1,17,19,20,22,32,,,,,,,
6-Apr-2002,19,22,24,29,34,43,,,,,,,
8-Apr-2002,9,15,30,31,40,47,,,,,,,
10-Apr-2002,10,25,39,43,47,48,,,,,,,
13-Apr-2002,2,14,22,32,34,42,,,,,,,
15-Apr-2002,1,7,20,21,30,35,,,,,,,
17-Apr-2002,11,16,18,21,29,48,,,,,,,
20-Apr-2002,3,11,19,39,40,48,,,,,,,
22-Apr-2002,2,13,15,16,17,30,,,,,,,
24-Apr-2002,5,13,20,35,38,39,,,,,,,
27-Apr-2002,1,2,10,14,15,17,,,,,,,
29-Apr-2002,3,18,26,29,33,48,,,,,,,
1-May-2002,5,6,14,19,21,30,,,,,,,
4-May-2002,1,8,21,24,27,38,,,,,,,
6-May-2002,18,21,22,27,30,46,,,,,,,
8-May-2002,10,12,23,35,39,41,,,,,,,
11-May-2002,1,2,6,23,26,44,,,,,,,
13-May-2002,14,28,38,39,42,44,,,,,,,
15-May-2002,6,15,24,30,39,44,,,,,,,
18-May-2002,6,14,16,27,32,40,,,,,,,
20-May-2002,6,7,11,12,32,47,,,,,,,
22-May-2002,6,9,13,25,40,43,,,,,,,
25-May-2002,2,27,31,33,43,44,,,,,,,
27-May-2002,8,25,32,33,35,41,,,,,,,
29-May-2002,3,6,13,37,38,45,,,,,,,
1-Jun-2002,4,21,31,32,34,48,,,,,,,
3-Jun-2002,5,12,20,29,38,45,,,,,,,
5-Jun-2002,10,13,14,26,40,43,,,,,,,
8-Jun-2002,2,6,12,13,35,39,,,,,,,
10-Jun-2002,8,22,23,27,40,45,,,,,,,
12-Jun-2002,16,22,38,40,42,48,,,,,,,
15-Jun-2002,3,14,18,40,43,46,,,,,,,
17-Jun-2002,1,6,11,12,19,40,,,,,,,
19-Jun-2002,13,27,33,34,40,44,,,,,,,
22-Jun-2002,7,9,13,26,31,47,,,,,,,
24-Jun-2002,2,6,28,31,37,41,,,,,,,
26-Jun-2002,3,4,6,27,30,41,,,,,,,
29-Jun-2002,15,17,29,31,35,38,,,,,,,
1-Jul-2002,15,21,25,42,44,47,,,,,,,
3-Jul-2002,3,9,11,15,41,46,,,,,,,
6-Jul-2002,2,3,13,14,21,25,,,,,,,
8-Jul-2002,4,7,9,10,23,26,,,,,,,
10-Jul-2002,12,26,34,37,45,48,,,,,,,
13-Jul-2002,9,13,21,32,41,47,,,,,,,
15-Jul-2002,16,18,21,44,45,46,,,,,,,
