Date,N1,N2,N3,N4,N5,POWER_BALL
22-Apr-1992,2,25,35,41,42,15
25-Apr-1992,6,9,22,42,44,12
29-Apr-1992,1,8,10,28,35,10
2-May-1992,14,23,31,32,41,33
6-May-1992,27,29,30,36,43,4
9-May-1992,1,12,16,23,31,33
13-May-1992,3,6,13,33,43,37
16-May-1992,2,9,19,28,30,38
20-May-1992,3,11,16,30,34,45
23-May-1992,23,27,28,36,44,26
27-May-1992,30,32,41,42,44,6
30-May-1992,4,8,17,19,45,9
3-Jun-1992,1,2,11,19,30,15
6-Jun-1992,2,6,9,10,42,20
10-Jun-1992,1,8,24,30,36,28
13-Jun-1992,13,27,29,42,43,41
17-Jun-1992,1,9,14,26,32,13
20-Jun-1992,7,11,15,21,35,12
24-Jun-1992,9,10,19,36,40,39
27-Jun-1992,17,23,24,31,35,25
1-Jul-1992,10,24,31,33,45,30
4-Jul-1992,5,7,15,22,45,31
8-Jul-1992,9,25,28,35,43,13
11-Jul-1992,9,11,24,28,44,20
15-Jul-1992,12,18,24,30,36,32
18-Jul-1992,2,5,18,19,35,40
22-Jul-1992,4,16,18,19,36,3
25-Jul-1992,15,21,27,32,37,37
29-Jul-1992,1,12,29,35,42,29
1-Aug-1992,10,15,17,20,28,29
5-Aug-1992,8,15,21,26,38,6
8-Aug-1992,5,14,19,26,30,27
12-Aug-1992,2,3,6,11,23,33
15-Aug-1992,7,16,17,42,45,12
19-Aug-1992,2,5,9,11,17,41
22-Aug-1992,4,36,40,43,44,43
26-Aug-1992,6,7,25,33,36,1
29-Aug-1992,14,17,30,32,41,27
2-Sep-1992,3,9,16,24,34,5
5-Sep-1992,3,4,23,24,34,6
9-Sep-1992,12,17,27,33,37,37
12-Sep-1992,10,20,22,26,34,35
16-Sep-1992,9,13,25,33,34,20
19-Sep-1992,17,19,21,29,36,45
23-Sep-1992,12,18,20,26,40,11
26-Sep-1992,17,24,40,44,45,14
30-Sep-1992,2,9,22,23,24,6
3-Oct-1992,18,36,39,40,43,5
7-Oct-1992,9,10,20,31,34,10
10-Oct-1992,3,8,23,26,35,34
14-Oct-1992,18,20,23,34,40,2
17-Oct-1992,5,13,22,28,29,12
21-Oct-1992,6,23,26,28,29,36
24-Oct-1992,3,16,24,31,35,16
28-Oct-1992,1,4,10,18,36,28
31-Oct-1992,9,15,17,26,43,22
4-Nov-1992,6,8,9,22,30,36
7-Nov-1992,2,3,22,39,42,21
11-Nov-1992,4,31,34,38,44,39
14-Nov-1992,16,21,24,36,43,19
18-Nov-1992,15,27,31,35,45,7
21-Nov-1992,2,28,36,44,45,17
25-Nov-1992,10,12,14,20,26,35
28-Nov-1992,11,15,35,39,40,23
2-Dec-1992,1,4,26,35,42,28
5-Dec-1992,9,17,19,40,41,31
9-Dec-1992,6,17,22,27,34,22
12-Dec-1992,9,28,40,42,44,12
16-Dec-1992,4,7,11,25,40,24
19-Dec-1992,11,16,32,37,39,27
23-Dec-1992,7,12,21,25,31,11
26-Dec-1992,6,12,17,18,42,17
30-Dec-1992,1,11,18,30,41,12
2-Jan-1993,9,12,20,27,35,20
6-Jan-1993,14,20,25,34,42,16
9-Jan-1993,5,10,38,40,43,10
13-Jan-1993,2,3,11,37,45,29
16-Jan-1993,5,7,8,25,28,13
20-Jan-1993,8,27,31,33,42,20
23-Jan-1993,8,12,15,30,33,9
27-Jan-1993,14,17,18,34,38,32
30-Jan-1993,1,10,27,40,45,17
3-Feb-1993,11,29,40,41,43,5
6-Feb-1993,19,23,25,31,41,37
10-Feb-1993,4,15,16,26,28,33
13-Feb-1993,5,7,11,24,28,22
17-Feb-1993,1,6,16,22,26,32
20-Feb-1993,10,28,32,38,41,38
24-Feb-1993,16,24,32,35,42,45
27-Feb-1993,1,4,16,35,38,27
3-Mar-1993,5,9,15,16,26,44
6-Mar-1993,5,15,21,25,41,34
10-Mar-1993,5,11,27,29,42,12
13-Mar-1993,2,11,21,35,38,29
17-Mar-1993,9,26,32,40,41,11
20-Mar-1993,12,14,25,32,41,38
24-Mar-1993,3,13,25,41,44,42
27-Mar-1993,2,3,13,14,17,26
31-Mar-1993,1,12,19,39,41,13
3-Apr-1993,15,22,24,32,39,18
7-Apr-1993,7,19,33,36,43,23
10-Apr-1993,23,24,30,36,39,34
14-Apr-1993,6,7,17,29,33,21
17-Apr-1993,4,15,30,36,38,9
21-Apr-1993,3,8,10,14,29,37
24-Apr-1993,9,15,16,25,26,2
28-Apr-1993,1,13,16,37,41,2
1-May-1993,2,14,25,35,41,1
5-May-1993,7,15,40,42,43,11
8-May-1993,21,22,36,43,45,26
12-May-1993,10,24,35,36,39,13
15-May-1993,15,27,32,40,41,30
19-May-1993,12,24,31,35,38,8
22-May-1993,7,18,26,31,36,39
26-May-1993,5,9,27,30,34,6
29-May-1993,1,5,21,28,41,12
2-Jun-1993,16,23,24,33,42,31
